site_id,latitude.x,longitude.x,station_id,temp,latitude.y,longitude.y,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,first_yes_year,first_yes_month,first_yes_day,first_yes_doy,first_yes_julian_date,numdays_since_prior_no,last_yes_year,last_yes_month,last_yes_day,last_yes_doy,last_yes_julian_date,numdays_until_next_no,rownames(usa_npn),num_obs,doy,year
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1956,5,25,146,2435619,-9999,1956,5,25,146,2435619,-9999,1,150,146,1956
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1957,5,22,142,2435981,-9999,1957,5,22,142,2435981,-9999,2,150,142,1957
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1958,5,12,132,2436336,-9999,1958,5,12,132,2436336,-9999,3,150,132,1958
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1959,6,3,154,2436723,-9999,1959,6,3,154,2436723,-9999,4,150,154,1959
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1960,5,27,148,2437082,-9999,1960,5,27,148,2437082,-9999,5,150,148,1960
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1961,5,27,147,2437447,-9999,1961,5,27,147,2437447,-9999,6,150,147,1961
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1962,5,26,146,2437811,-9999,1962,5,26,146,2437811,-9999,7,150,146,1962
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1963,5,24,144,2438174,-9999,1963,5,24,144,2438174,-9999,8,150,144,1963
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1964,5,28,149,2438544,-9999,1964,5,28,149,2438544,-9999,9,150,149,1964
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1966,5,26,146,2439272,-9999,1966,5,26,146,2439272,-9999,10,150,146,1966
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1967,6,4,155,2439646,-9999,1967,6,4,155,2439646,-9999,11,150,155,1967
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1968,6,4,156,2440012,-9999,1968,6,4,156,2440012,-9999,12,150,156,1968
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1969,5,16,136,2440358,-9999,1969,5,16,136,2440358,-9999,13,150,136,1969
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1970,5,28,148,2440735,-9999,1970,5,28,148,2440735,-9999,14,150,148,1970
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1971,5,17,137,2441089,-9999,1971,5,17,137,2441089,-9999,15,150,137,1971
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1972,5,19,140,2441457,-9999,1972,5,19,140,2441457,-9999,16,150,140,1972
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1973,5,22,142,2441825,-9999,1973,5,22,142,2441825,-9999,17,150,142,1973
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1974,6,1,152,2442200,-9999,1974,6,1,152,2442200,-9999,18,150,152,1974
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1975,6,6,157,2442570,-9999,1975,6,6,157,2442570,-9999,19,150,157,1975
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1976,5,17,138,2442916,-9999,1976,5,17,138,2442916,-9999,20,150,138,1976
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1977,5,12,132,2443276,-9999,1977,5,12,132,2443276,-9999,21,150,132,1977
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1981,5,18,138,2444743,-9999,1981,5,18,138,2444743,-9999,22,150,138,1981
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1982,6,5,156,2445126,-9999,1982,6,5,156,2445126,-9999,23,150,156,1982
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1983,5,27,147,2445482,-9999,1983,5,27,147,2445482,-9999,24,150,147,1983
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1984,5,27,148,2445848,-9999,1984,5,27,148,2445848,-9999,25,150,148,1984
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1985,5,11,131,2446197,-9999,1985,5,11,131,2446197,-9999,26,150,131,1985
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1987,5,4,124,2446920,-9999,1987,5,4,124,2446920,-9999,27,150,124,1987
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1988,5,20,141,2447302,-9999,1988,5,20,141,2447302,-9999,28,150,141,1988
150,47.058998,-109.950996,USC00245761,,47.058998,-109.950996,1294,MT,36,Syringa,vulgaris,common lilac,Plantae,54629,412,First bloom (historic western lilac),1989,5,20,140,2447667,-9999,1989,5,20,140,2447667,-9999,29,150,140,1989
